+ 1.543744 2 1 tcp 1040 ------- 1 2.0 5.0 15 49
- 1.543744 2 1 tcp 1040 ------- 1 2.0 5.0 15 49
+ 1.543744 2 1 tcp 1040 ------- 1 2.0 5.0 16 50
- 1.545408 2 1 tcp 1040 ------- 1 2.0 5.0 16 50
r 1.549536 4 5 tcp 1040 ------- 1 2.0 5.0 11 41
+ 1.549536 5 4 ack 40 ------- 1 5.0 2.0 11 51
- 1.549536 5 4 ack 40 ------- 1 5.0 2.0 11 51
r 1.55032 4 1 ack 40 ------- 1 5.0 2.0 8 46
+ 1.55032 1 2 ack 40 ------- 1 5.0 2.0 8 46
- 1.55032 1 2 ack 40 ------- 1 5.0 2.0 8 46
r 1.554512 1 4 tcp 1040 ------- 1 2.0 5.0 12 42
+ 1.554512 4 5 tcp 1040 ------- 1 2.0 5.0 12 42
- 1.554512 4 5 tcp 1040 ------- 1 2.0 5.0 12 42
r 1.555408 2 1 tcp 1040 ------- 1 2.0 5.0 15 49
+ 1.555408 1 4 tcp 1040 ------- 1 2.0 5.0 15 49
- 1.555408 1 4 tcp 1040 ------- 1 2.0 5.0 15 49
r 1.557072 2 1 tcp 1040 ------- 1 2.0 5.0 16 50
+ 1.557072 1 4 tcp 1040 ------- 1 2.0 5.0 16 50
r 1.5596 5 4 ack 40 ------- 1 5.0 2.0 11 51
+ 1.5596 4 1 ack 40 ------- 1 5.0 2.0 11 51
- 1.5596 4 1 ack 40 ------- 1 5.0 2.0 11 51
r 1.560384 1 2 ack 40 ------- 1 5.0 2.0 8 46
+ 1.560384 2 1 tcp 1040 ------- 1 2.0 5.0 17 52
- 1.560384 2 1 tcp 1040 ------- 1 2.0 5.0 17 52
+ 1.560384 2 1 tcp 1040 ------- 1 2.0 5.0 18 53
- 1.562048 2 1 tcp 1040 ------- 1 2.0 5.0 18 53
r 1.566176 4 5 tcp 1040 ------- 1 2.0 5.0 12 42
+ 1.566176 5 4 ack 40 ------- 1 5.0 2.0 12 54
- 1.566176 5 4 ack 40 ------- 1 5.0 2.0 12 54
r 1.56696 4 1 ack 40 ------- 1 5.0 2.0 9 47
+ 1.56696 1 2 ack 40 ------- 1 5.0 2.0 9 47
- 1.56696 1 2 ack 40 ------- 1 5.0 2.0 9 47
r 1.571152 1 4 tcp 1040 ------- 1 2.0 5.0 13 43
+ 1.571152 4 5 tcp 1040 ------- 1 2.0 5.0 13 43
- 1.571152 4 5 tcp 1040 ------- 1 2.0 5.0 13 43
- 1.572048 1 4 tcp 1040 ------- 1 2.0 5.0 16 50
r 1.572048 2 1 tcp 1040 ------- 1 2.0 5.0 17 52
+ 1.572048 1 4 tcp 1040 ------- 1 2.0 5.0 17 52
r 1.573712 2 1 tcp 1040 ------- 1 2.0 5.0 18 53
+ 1.573712 1 4 tcp 1040 ------- 1 2.0 5.0 18 53
r 1.57624 5 4 ack 40 ------- 1 5.0 2.0 12 54
+ 1.57624 4 1 ack 40 ------- 1 5.0 2.0 12 54
